year,index,language,discipline,context,alternatives_intro,alternative_A,alternative_B,alternative_C,alternative_D,alternative_E,correct_alternative,has_images
2009,1,,ciencias-humanas,"A atmosfera terrestre é composta pelos gases nitrogênio (N2) e oxigênio (O2), que somam cerca de 99%, e por gases traços, entre eles o gás carbônico (CO2), vapor de água (H2O), metano (CH4), ozônio (O3) e o óxido nitroso (N2O), que compõem o restante 1% do ar que respiramos. Os gases traços, por serem constituídos por pelo menos três átomos, conseguem absorver o calor irradiado pela Terra, aquecendo o planeta. Esse fenômeno, que acontece  
há bilhões de anos, é chamado de efeito estufa. A partir da Revolução Industrial (século XIX), a concentração de gases traços na atmosfera, em particular o CO2, tem aumentado significativamente, o que resultou no aumento da temperatura em escala global. Mais recentemente, outro fator tornou-se diretamente envolvido no aumento da concentração de CO2 na atmosfera: o desmatamento.

BROWN, I. F.; ALECHANDRE, A. S. Conceitos básicos sobre clima,carbono, florestas e comunidades. A.G. Moreira & S. Schwartzman. As mudanças climáticas globais e os ecossistemas brasileiros. Brasília: Instituto de Pesquisa Ambiental da Amazônia, 2000 (adaptado).","Considerando o texto, uma alternativa viável para combater o efeito estufa é",Reduzir o calor irradiado pela Terra mediante a substituição da produção primária pela industrialização refrigerada.,"Promover a queima da biomassa vegetal, responsável pelo aumento do efeito estufa devido à produção de CH4.","Reduzir o desmatamento, mantendo-se, assim, o potencial da vegetação em absorver o CO2 da atmosfera.","Aumentar a concentração atmosférica de H2O, molécula capaz de absorver grande quantidade de calor.","Remover moléculas orgânicas polares da atmosfera, diminuindo a capacidade delas de reter calor.",C,False
2009,10,,ciencias-natureza,"A fotossíntese é importante para a vida na Terra. Nos cloroplastos dos organismos fotossintetizantes, a energia solar é convertida em energia química que, juntamente com água e gás carbônico (CO2), é utilizada para a síntese de compostos orgânicos (carboidratos). A fotossíntese é o único processo de importância biológica capaz de realizar essa conversão. Todos os organismos, incluindo os produtores, aproveitam a energia armazenada nos carboidratos para impulsionar os processos celulares, liberando CO2 para a atmosfera e água para a célula por meio da respiração celular. Além disso, grande fração dos recursos energéticos do planeta, produzidos tanto no presente (biomassa) como em tempos remotos (combustível fóssil), é resultante da atividade fotossintética.","As informações sobre obtenção e transformação dos recursos naturais por meio dos processos vitais de fotossíntese e respiração, descritas no texto, permitem concluir que",O CO2 e a água são moléculas de alto teor energético.,Os carboidratos convertem energia solar em energia química.,"A vida na Terra depende, em última análise, da energia proveniente do Sol.",O processo respiratório é responsável pela retirada de carbono da atmosfera.,"A produção de biomassa e de combustível fóssil, por si, é responsável pelo aumento de CO2 atmosférico.",C,False
2009,100,,linguagens,![](https://enem.dev/2009/questions/100/8d5cbf39-b768-437a-a494-eb718d3f64a5.jpg),"Tendo em vista a segunda fala do personagem entrevistado, constata-se que",O entrevistado deseja convencer o jornalista a não publicar um livro.,O principal objetivo do entrevistado é explicar o significado da palavra motivação.,"São utilizados diversos recursos da linguagem literária, tais como a metáfora e a metonímia.",O entrevistado deseja informar de modo objetivo o jornalista sobre as etapas de produção de um livro.,O principal objetivo do entrevistado é evidenciar seu sentimento com relação ao processo de produção de um livro.,E,True
2009,102,,linguagens,"Gênero dramático é aquele em que o artista usa como intermediária entre si e o público a representação. A palavra vem do grego _drao_ (fazer) e quer dizer ação. A peça teatral é, pois, uma composição literária destinada à apresentação por atores em um palco, atuando e dialogando entre si. O texto dramático é complementado pela atuação dos atores no espetáculo teatral e possui uma estrutura específica, caracterizada: 1) pela presença de personagens que devem estar ligados com lógica uns aos outros e à ação; 2) pela ação dramática (trama, enredo), que é o conjunto de atos dramáticos, maneiras de ser e de agir das personagens encadeadas à unidade do efeito e segundo uma ordem composta de exposição, conflito, complicação, clímax e desfecho; 3) pela situação ou ambiente, que é o conjunto de circunstâncias físicas, sociais, espirituais em que se situa a ação; 4) pelo tema, ou seja, a ideia que o autor (dramaturgo) deseja expor, ou sua interpretação real por meio da representação.

COUTINHO, A. **Notas de teoria literária.** Rio de Janeiro:  
Civilização Brasileira, 1973 (adaptado).","Considerando o texto e analisando os elementos que constituem um espetáculo teatral, conclui-se que","A criação do espetáculo teatral apresenta-se como um fenômeno de ordem individual, pois não é possível sua concepção de forma coletiva.",O cenário onde se desenrola a ação cênica é concebido e construído pelo cenógrafo de modo autônomo e independente do tema da peça e do trabalho interpretativo dos atores.,"O texto cênico pode originar-se dos mais variados gêneros textuais, como contos, lendas, romances, poesias, crônicas, notícias, imagens e fragmentos textuais, entre outros.","O corpo do ator na cena tem pouca importância na comunicação teatral, visto que o mais importante é a expressão verbal, base da comunicação cênica em toda a trajetória do teatro até os dias atuais.","A iluminação e o som de um espetáculo cênico independem do processo de produção/recepção do espetáculo teatral, já que se trata de linguagens artísticas diferentes, agregadas posteriormente à cena teatral.",C,False
2009,103,,linguagens,"Saúde, no modelo atual de qualidade de vida, é o resultado das condições de alimentação, habitação, educação, renda, trabalho, transporte, lazer, serviços médicos e acesso à atividade física regular. Quanto ao acesso à atividade física, um dos elementos essenciais é a aptidão física, entendida como a capacidade de a pessoa utilizar seu corpo — incluindo músculos, esqueleto, coração, enfim, todas as partes —, de forma eficiente em suas atividades cotidianas; logo, quando se avalia a saúde de uma pessoa, a aptidão física deve ser levada em conta.","A partir desse contexto, considera-se que uma pessoa tem boa aptidão física quando",Apresenta uma postura regular.,Pode se exercitar por períodos curtos de tempo.,"Pode desenvolver as atividades físicas do dia-a-dia, independentemente de sua idade.","Pode executar suas atividades do dia a dia com vigor, atenção e uma fadiga de moderada a intensa.","Pode exercer atividades físicas no final do dia, mas suas reservas de energia são insuficientes para atividades intelectuais.",C,False
2009,104,,ciencias-humanas,"Diferentemente do texto escrito, que em geral compele os leitores a lerem numa onda linear – da esquerda para a direita e de cima para baixo, na página  
impressa – hipertextos encorajam os leitores a moverem-se de um bloco de texto a outro, rapidamente e não sequencialmente. Considerando que o hipertexto oferece uma multiplicidade de caminhos a seguir, podendo ainda o leitor incorporar seus caminhos e suas decisões como novos caminhos, inserindo informações novas, o leitor-navegador passa a ter um papel mais ativo e uma oportunidade diferente da de um leitor de texto impresso. Dificilmente dois leitores de hipertextos farão os mesmos caminhos e tomarão as mesmas decisões.

MARCUSCHI, L. A. **Cognição, linguagem e práticas interacionais.**  
Rio: Lucerna, 2007.","No que diz respeito à relação entre o hipertexto e o conhecimento por ele produzido, o texto apresentado deixa claro que o hipertexto muda a noção tradicional de autoria, porque",É o leitor que constrói a versão final do texto.,O autor detém o controle absoluto do que escreve.,Aclara os limites entre o leitor e o autor.,Propicia um evento textual-interativo em que apenas o autor é ativo.,Só o autor conhece o que eletronicamente se dispõe para o leitor.,A,False
2009,105,,linguagens,![](https://enem.dev/2009/questions/105/d37499f0-6363-4d99-8d33-c682027d79d7.jpg),Os quadrinhos exemplificam que as Histórias em Quadrinhos constituem um gênero textual,"Em que a imagem pouco contribui para facilitar a interpretação da mensagem contida no texto, como pode ser constatado no primeiro quadrinho.","Cuja linguagem se caracteriza por ser rápida e clara, que facilita a compreensão, como se percebe na fala do segundo quadrinho: “</DIV> </SPAN> <BR CLEAR = ALL> < BR> <BR> <SCRIPT>”.","Em que o uso de letras com espessuras diversas está ligado a sentimentos expressos pelos personagens, como pode ser percebido no último quadrinho.","Que possui em seu texto escrito características próximas a uma conversação face a face, como pode ser percebido no segundo quadrinho.","Que a localização casual dos balões nos quadrinhos expressa com clareza a sucessão cronológica da história, como pode ser percebido no segundo quadrinho.",D,True
2009,106,,linguagens,"A partir da metade do século XX, ocorreu um conjunto de transformações econômicas e sociais cuja dimensão é difícil de ser mensurada: a chamada explosão da informação. Embora essa expressão tenha surgido no contexto da informação científica e tecnológica, seu significado, hoje, em um contexto mais geral, atinge proporções gigantescas.  
Por estabelecerem novas formas de pensamento e mesmo de lógica, a informática e a Internet vêm gerando impactos sociais e culturais importantes. A disseminação do microcomputador e a expansão da Internet vêm acelerando o processo de globalização tanto no sentido do mercado quanto no sentido das trocas simbólicas possíveis entre sociedades e culturas diferentes, o que tem provocado e acelerado o fenômeno de hibridização amplamente caracterizado como próprio da pós-modernidade.

FERNANDES, M. F.; PARÁ, T. **A contribuição das novas tecnologias da informação na geração de conhecimento.** Disponível em: http://www.coep.ufrj.br.  
Acesso em: 11 ago. 2009 (adaptado).","Considerando-se o novo contexto social e econômico aludido no texto apresentado, as novas tecnologias de informação e comunicação","Desempenham importante papel, porque sem elas não seria possível registrar os acontecimentos históricos.","Facilitam os processos educacionais para ensino de tecnologia, mas não exercem influência nas ciências humanas.","Limitam-se a dar suporte aos meios de comunicação, facilitando sobretudo os trabalhos jornalísticos.","Contribuem para o desenvolvimento social, pois permitem o registro e a disseminação do conhecimento de forma mais democrática e interativa.","Estão em estágio experimental, particularmente na educação, área em que ainda não demonstraram potencial produtivo.",D,False
2009,107,,linguagens,"**Texto I**  
É praticamente impossível imaginarmos nossas vidas sem o plástico. Ele está presente em embalagens de alimentos, bebidas e remédios, além de eletrodomésticos, automóveis etc. Esse uso ocorre devido à sua atoxicidade e à inércia, isto é: quando em contato com outra substâncias, o plástico não as contamina; ao contrário, protege o produto embalado. Outras duas grandes vantagens garantem o uso dos plásticos em larga escala: são leves, quase não alteram o peso do material embalado, e são 100% recicláveis, fato que, infelizmente, não é aproveitado, visto que, em todo o mundo, a percentagem de plástico reciclado, quando comparado ao total produzido, ainda é irrelevante.

**Revista Mãe Terra**. Minuano, ano I, n. 6 (adaptado).

**Texto II**  
Sacolas plásticas são leves e voam ao vento. Por isso, elas entopem esgotos e bueiros, causando enchentes. São encontradas até no estômago de tartarugas marinhas, baleias, focas e golfinhos, mortos por sufocamento.  
Sacolas plásticas descartáveis são gratuitas para os consumidores, mas têm um custo incalculável para o meio ambiente.

**Veja**, 8 jul. 2009. Fragmentos de texto publicitário do  
Instituto Akatu pelo Consumo Consciente.","Em contraste com o texto I, no texto II são empregadas, predominantemente, estratégias argumentativas que",Atraem o leitor por meio de previsões para o futuro.,"Apelam à emoção do leitor, mencionando a morte de animais.",Orientam o leitor a respeito dos modos de usar conscientemente as sacolas plásticas.,Intimidam o leitor com as nocivas consequências do uso indiscriminado de sacolas plásticas.,"Recorrem à informação, por meio de constatações, para convencer o leitor a evitar o uso de sacolas plásticas.",E,False
2009,108,,linguagens,"**Texto I**  
É praticamente impossível imaginarmos nossas vidas sem o plástico. Ele está presente em embalagens de alimentos, bebidas e remédios, além de eletrodomésticos, automóveis etc. Esse uso ocorre devido à sua atoxicidade e à inércia, isto é: quando em contato com outra substâncias, o plástico não as contamina; ao contrário, protege o produto embalado. Outras duas grandes vantagens garantem o uso dos plásticos em larga escala: são leves, quase não alteram o peso do material embalado, e são 100% recicláveis, fato que, infelizmente, não é aproveitado, visto que, em todo o mundo, a percentagem de plástico reciclado, quando comparado ao total produzido, ainda é irrelevante.

**Revista Mãe Terra**. Minuano, ano I, n. 6 (adaptado).

**Texto II**  
Sacolas plásticas são leves e voam ao vento. Por isso, elas entopem esgotos e bueiros, causando enchentes. São encontradas até no estômago de tartarugas marinhas, baleias, focas e golfinhos, mortos por sufocamento.  
Sacolas plásticas descartáveis são gratuitas para os consumidores, mas têm um custo incalculável para o meio ambiente.

**Veja**, 8 jul. 2009. Fragmentos de texto publicitário do  
Instituto Akatu pelo Consumo Consciente.","Na comparação dos textos, observa-se que",O texto I apresenta um alerta a respeito do efeito da reciclagem de materiais plásticos; o texto II justifica o uso desse material reciclado.,O texto I tem como objetivo precípuo apresentar a versatilidade e as vantagens do uso do plástico na contemporaneidade; o texto II objetiva alertar os consumidores sobre os problemas ambientais decorrentes de embalagens plásticas não recicladas.,"O texto I expõe vantagens, sem qualquer ressalva, do uso do plástico; o texto II busca convencer o leitor a evitar o uso de embalagens plásticas.","O texto I ilustra o posicionamento de fabricantes de embalagens plásticas, mostrando por que elas devem ser usadas; o texto II ilustra o posicionamento de consumidores comuns, que buscam praticidade e conforto.","O texto I apresenta um alerta a respeito da possibilidade de contaminação de produtos orgânicos e industrializados decorrente do uso de plástico em suas embalagens; o texto II apresenta vantagens do consumo de sacolas plásticas: leves, descartáveis e gratuitas.",B,False
